# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-11-02 18:50:40 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09509502 BARTLETT RESERVOIR AT BARTLETT DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09509502
#            TS   parameter     statistic     Description
#          5723       00054     32400     Reservoir storage, acre feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5723_00054_32400	5723_00054_32400_cd
5s	15s	20d	14n	10s
USGS	09509502	2018-10-01	80710	P
USGS	09509502	2018-10-02	81140	P
USGS	09509502	2018-10-03	81900	P
USGS	09509502	2018-10-04	82020	P
USGS	09509502	2018-10-05	82070	P
USGS	09509502	2018-10-06	82130	P
USGS	09509502	2018-10-07	82330	P
USGS	09509502	2018-10-08	82480	P
USGS	09509502	2018-10-09	82540	P
USGS	09509502	2018-10-10	82640	P
USGS	09509502	2018-10-11	82720	P
USGS	09509502	2018-10-12	82760	P
USGS	09509502	2018-10-13	82790	P
USGS	09509502	2018-10-14	83210	P
USGS	09509502	2018-10-15	83310	P
USGS	09509502	2018-10-16	83270	P
USGS	09509502	2018-10-17	83240	P
USGS	09509502	2018-10-18	83040	P
USGS	09509502	2018-10-19	83110	P
USGS	09509502	2018-10-20	83270	P
USGS	09509502	2018-10-21	83320	P
USGS	09509502	2018-10-22	83370	P
USGS	09509502	2018-10-23	83560	P
USGS	09509502	2018-10-24	83710	P
USGS	09509502	2018-10-25	83740	P
USGS	09509502	2018-10-26	83740	P
USGS	09509502	2018-10-27	83830	P
USGS	09509502	2018-10-28	83780	P
USGS	09509502	2018-10-29	83810	P
USGS	09509502	2018-10-30	83960	P
USGS	09509502	2018-10-31	84100	P
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-12-03 19:38:14 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09509502 BARTLETT RESERVOIR AT BARTLETT DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09509502
#            TS   parameter     statistic     Description
#          5723       00054     32400     Reservoir storage, acre feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5723_00054_32400	5723_00054_32400_cd
5s	15s	20d	14n	10s
USGS	09509502	2018-11-01	84010	P
USGS	09509502	2018-11-02	83790	P
USGS	09509502	2018-11-03	83510	P
USGS	09509502	2018-11-04	82610	P
USGS	09509502	2018-11-05	81390	P
USGS	09509502	2018-11-06	80020	P
USGS	09509502	2018-11-07	78670	P
USGS	09509502	2018-11-08	77730	P
USGS	09509502	2018-11-09	77680	P
USGS	09509502	2018-11-10	78000	P
USGS	09509502	2018-11-11	78480	P
USGS	09509502	2018-11-12	79280	P
USGS	09509502	2018-11-13	80090	P
USGS	09509502	2018-11-14	81100	P
USGS	09509502	2018-11-15	81870	P
USGS	09509502	2018-11-16	81980	P
USGS	09509502	2018-11-17	82100	P
USGS	09509502	2018-11-18	82230	P
USGS	09509502	2018-11-19	82360	P
USGS	09509502	2018-11-20	82490	P
USGS	09509502	2018-11-21	82590	P
USGS	09509502	2018-11-22	82720	P
USGS	09509502	2018-11-23	82820	P
USGS	09509502	2018-11-24	82970	P
USGS	09509502	2018-11-25	83110	P
USGS	09509502	2018-11-26	83240	P
USGS	09509502	2018-11-27	83370	P
USGS	09509502	2018-11-28	83540	P
USGS	09509502	2018-11-29	83690	P
USGS	09509502	2018-11-30	83910	P
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-01-02 13:00:33 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09509502 BARTLETT RESERVOIR AT BARTLETT DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09509502
#            TS   parameter     statistic     Description
#          5723       00054     32400     Reservoir storage, acre feet (Observation at noon)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
