# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-11-02 18:50:36 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09469000 SAN CARLOS RESERVOIR AT COOLIDGE DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09469000
#            TS   parameter     statistic     Description
#          5495       00054     00003     Reservoir storage, acre feet (Mean)
#          5496       00054     32400     Reservoir storage, acre feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5495_00054_00003	5495_00054_00003_cd	5496_00054_32400	5496_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	09469000	2018-10-01	7003	P	7002	P
USGS	09469000	2018-10-02	7021	P	7038	P
USGS	09469000	2018-10-03	7036	P	7038	P
USGS	09469000	2018-10-04	7038	P	7038	P
USGS	09469000	2018-10-05	7028	P	7026	P
USGS	09469000	2018-10-06	7022	P	7026	P
USGS	09469000	2018-10-07	7044	P	7062	P
USGS	09469000	2018-10-08	7068	P	7074	P
USGS	09469000	2018-10-09	7065	P	7074	P
USGS	09469000	2018-10-10	7064	P	7050	P
USGS	09469000	2018-10-11	7060	P	7062	P
USGS	09469000	2018-10-12	7076	P	7074	P
USGS	09469000	2018-10-13	7109	P	7171	P
USGS	09469000	2018-10-14	7332	P	7416	P
USGS	09469000	2018-10-15	7447	P	7416	P
USGS	09469000	2018-10-16	7494	P	7503	P
USGS	09469000	2018-10-17	7546	P	7528	P
USGS	09469000	2018-10-18	7613	P	7691	P
USGS	09469000	2018-10-19	7828	P	7933	P
USGS	09469000	2018-10-20	8066	P	8204	P
USGS	09469000	2018-10-21	8248	P	8335	P
USGS	09469000	2018-10-22	8391	P	8427	P
USGS	09469000	2018-10-23	8471	P	8507	P
USGS	09469000	2018-10-24	8540	P	8547	P
USGS	09469000	2018-10-25	8610	P	8761	P
USGS	09469000	2018-10-26	9159	P	9562	P
USGS	09469000	2018-10-27	9831	P	10060	P
USGS	09469000	2018-10-28	10270	P	10460	P
USGS	09469000	2018-10-29	10620	P	10760	P
USGS	09469000	2018-10-30	10860	P	10950	P
USGS	09469000	2018-10-31	11050	P	11120	P
# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-12-03 19:38:11 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09469000 SAN CARLOS RESERVOIR AT COOLIDGE DAM, AZ
# -----------------------------------------------------------------------------------
#
# Data provided for site 09469000
#            TS   parameter     statistic     Description
#          5495       00054     00003     Reservoir storage, acre feet (Mean)
#          5496       00054     32400     Reservoir storage, acre feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	5495_00054_00003	5495_00054_00003_cd	5496_00054_32400	5496_00054_32400_cd
5s	15s	20d	14n	10s	14n	10s
USGS	09469000	2018-11-01	11180	P	11240	P
USGS	09469000	2018-11-02	11300	P	11380	P
USGS	09469000	2018-11-03	11440	P	11540	P
USGS	09469000	2018-11-04	11650	P	11760	P
