Idaho, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189505,-1.01,-1.16
189605,2.35,2.20
189705,-1.06,-1.21
189805,-0.65,-0.80
189905,0.72,0.57
190005,-0.59,-0.74
190105,-0.29,-0.44
190205,0.75,0.60
190305,0.70,0.55
190405,-0.65,-0.80
190505,0.50,0.35
190605,1.33,1.18
190705,2.30,2.15
190805,0.96,0.81
190905,2.12,1.97
191005,-1.54,-1.69
191105,0.76,0.61
191205,2.31,2.16
191305,1.49,1.34
191405,-1.25,-1.40
191505,1.85,1.70
191605,2.01,1.86
191705,2.74,2.59
191805,-1.35,-1.50
191905,-2.05,-2.20
192005,0.90,0.75
192105,3.02,2.87
192205,-0.19,-0.34
192305,0.75,0.60
192405,-2.68,-2.83
192505,0.92,0.77
192605,-1.79,-1.94
192705,2.07,1.92
192805,-1.26,-1.41
192905,-2.62,-2.77
193005,-2.65,-2.80
193105,-2.98,-3.13
193205,1.42,1.27
193305,-0.26,-0.41
193405,-4.18,-4.33
193505,-2.33,-2.48
193605,-3.20,-3.35
193705,-3.97,-4.12
193805,1.90,1.75
193905,-2.26,-2.41
194005,-2.28,-2.43
194105,0.70,0.55
194205,2.44,2.29
194305,1.44,1.29
194405,0.20,0.05
194505,1.42,1.27
194605,-0.66,-0.81
194705,-1.58,-1.73
194805,1.76,1.61
194905,-1.20,-1.35
195005,0.85,0.70
195105,-0.61,-0.76
195205,-0.78,-0.93
195305,1.39,1.24
195405,-1.98,-2.13
195505,0.88,0.73
195605,-0.64,-0.79
195705,2.28,2.13
195805,-0.73,-0.88
195905,0.67,0.52
196005,0.68,0.53
196105,-0.97,-1.12
196205,1.16,1.01
196305,0.83,0.68
196405,1.08,0.93
196505,2.95,2.80
196605,-2.76,-2.91
196705,0.87,0.72
196805,0.08,-0.07
196905,-1.85,-2.00
197005,1.10,0.95
197105,3.25,3.10
197205,-0.38,-0.53
197305,-1.87,-2.02
197405,-0.61,-0.76
197505,1.93,1.78
197605,2.22,2.07
197705,0.73,0.58
197805,2.15,2.00
197905,-1.56,-1.71
198005,1.49,1.34
198105,1.11,0.96
198205,3.23,3.08
198305,3.37,3.22
198405,4.23,4.08
198505,-1.56,-1.71
198605,-0.17,-0.32
198705,-3.06,-3.21
198805,-3.14,-3.29
198905,-1.77,-1.92
199005,-1.65,-1.80
199105,1.66,1.51
199205,-4.02,-4.17
199305,0.83,0.68
199405,-2.91,-3.06
199505,2.28,2.13
199605,5.06,4.91
199705,2.93,2.78
199805,2.41,2.26
199905,0.28,0.13
200005,-1.77,-1.92
200105,-4.14,-4.29
200205,-2.39,-2.54
200305,-1.74,-1.89
200405,0.89,0.74
200505,1.35,1.20
200605,-0.41,-0.56
200705,-2.54,-2.69
200805,-1.25,-1.40
200905,0.40,0.25
201005,1.23,1.08
201105,4.19,4.04
201205,-0.22,-0.37
201305,-1.77,-1.92
201405,-2.07,-2.22
201505,-2.21,-2.36
201605,-1.42,-1.57
201705,-0.35,-0.50
201805,-0.17,-0.32
201905,1.68,1.53
202005,0.17,0.02
202105,-2.95,-3.10
